excel_row,source_code,proquest_no_result_reason,description
4576,81-Hhpul-t.89,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4577,81-Hhpul-t.99,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4578,81-Hhpw-t.8,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4579,81-J893-6,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4580,81-J894-4,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4581,81-J917-0a,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4582,81-J917-0b,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4583,81-J917-0c,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4584,81-J917-0d,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4585,81-J917-0e,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4586,81-J917-0f,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4587,81-J917-0g,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4588,81-J917-0h,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4589,81-J917-0i,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4590,81-J917-0j,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4591,81-J917-0k,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4592,81-J917-0l,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4593,81-J917-0m,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4594,81-J917-0n,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4595,81-J917-0o,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4596,81-J917-0p,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4597,81-J917-0q,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4598,81-J917-0r,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4599,81-J917-0s,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4600,81-J917-0t,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4601,81-J917-0u,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4602,81-J917-0v,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4603,81-J921-1,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4604,81-J921-3,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4605,81-J921-7,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4606,81-J921-9,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4607,81-Jjato-t.1,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4608,81-Jjato-t.100,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4609,81-Jjato-t.101,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4610,81-Jjato-t.112,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4611,81-Jjato-t.117,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4612,81-Jjato-t.2,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4613,81-Jjato-t.23,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4614,81-Jjato-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4615,81-Jjato-t.32,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4616,81-Jjato-t.33,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4617,81-Jjato-t.38,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4618,81-Jjato-t.47,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4619,81-Jjato-t.51,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4620,81-Jjato-t.55,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4621,81-Jjato-t.62,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4622,81-Jjato-t.63,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4623,81-Jjato-t.64,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4624,81-Jjato-t.66,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4625,81-Jjato-t.67,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4626,81-Jjato-t.70,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4627,81-Jjato-t.71,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4628,81-Jjato-t.73,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4629,81-Jjato-t.74,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4630,81-Jjato-t.75,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4631,81-Jjato-t.8,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4632,81-Jjato-t.83,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4633,81-Jjato-t.84,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4634,81-Jjato-t.85,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4635,81-Jjato-t.86,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4636,81-Jjato-t.90,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4637,81-Jjato-t.91,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4638,81-Jjato-t.97,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4703,81-S321-8,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4715,81-S401-9,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4716,81-S521-10,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4718,81-S521-3,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4755,81-Ssag-t.2,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4756,81-Ssag-t.7,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4757,81-Ssb-t.4,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4758,81-Ssfo-t.31,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4759,81-Ssfo-t.77,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4760,81-Ssini-t.1,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4761,81-Ssini-t.16,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4762,81-Ssini-t.21,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4763,81-Ssini-t.23,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4764,81-Ssini-t.24,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4765,81-Ssini-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4766,81-Ssini-t.28,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4767,81-Ssini-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4768,81-Ssini-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4769,81-Ssini-t.30,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4770,81-Ssini-t.32,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4771,81-Ssini-t.34,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4772,81-Ssini-t.38,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4773,81-Ssini-t.40,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4774,81-Ssini-t.45,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4775,81-Ssini-t.48,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4776,81-Ssini-t.49,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4777,81-Ssini-t.51,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4778,81-Ssini-t.56,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4779,81-Ssini-t.58,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4780,81-Ssini-t.59,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4781,81-Ssini-t.60,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4782,81-Ssini-t.62,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4783,81-Ssini-t.63,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4784,81-Ssini-t.65,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4785,81-Ssini-t.68,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4786,81-Ssini-t.69,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4787,81-Ssini-t.71,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4788,81-Ssini-t.73,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4789,81-Ssini-t.75,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4790,81-Ssini-t.78,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4791,81-Ssini-t.82,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4792,81-Ssini-t.86,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4831,82-H161-30,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4880,82-H361-52,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4895,82-H361-7,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4930,82-H441-17,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4932,82-H441-24,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4933,82-H441-25,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4936,82-H441-28,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4977,82-H721-20,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4981,82-Hhag-t.17,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4982,82-Hhag-t.19,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4983,82-Hhag-t.20,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4984,82-Hhag-t.24,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4985,82-Hhag-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4986,82-Hhag-t.34,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4987,82-Hhag-t.40,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4988,82-Hhag-t.5,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4989,82-Hhag-t.6,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4990,82-Hhag-t.9,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4991,82-Hhd-t.35,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4992,82-Hhj-t.46,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4993,82-Hhlni-t.104,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4994,82-Hhlni-t.127,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4995,82-Hhlni-t.128,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4996,82-Hhlni-t.129,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4997,82-Hhlni-t.131,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4998,82-Hhlni-t.132,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4999,82-Hhlni-t.133,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5000,82-Hhlni-t.134,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5001,82-Hhlni-t.138,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5002,82-Hhlni-t.141,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5003,82-Hhlni-t.148,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5004,82-Hhlni-t.149,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5005,82-Hhlni-t.150,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5006,82-Hhlni-t.151,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5007,82-Hhlni-t.153,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5008,82-Hhlni-t.154,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5009,82-Hhlni-t.163,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5010,82-Hhlni-t.164,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5011,82-Hhlni-t.165,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5012,82-Hhlni-t.17,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5013,82-Hhlni-t.18,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5014,82-Hhlni-t.188,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5015,82-Hhlni-t.19,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5016,82-Hhlni-t.191,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5017,82-Hhlni-t.195,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5018,82-Hhlni-t.204,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5019,82-Hhlni-t.205,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5020,82-Hhlni-t.206,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5021,82-Hhlni-t.207,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5022,82-Hhlni-t.208,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5023,82-Hhlni-t.22,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5024,82-Hhlni-t.223,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5025,82-Hhlni-t.226,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5026,82-Hhlni-t.227,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5027,82-Hhlni-t.228,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5028,82-Hhlni-t.229,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5029,82-Hhlni-t.23,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5030,82-Hhlni-t.230,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5031,82-Hhlni-t.235,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5032,82-Hhlni-t.264,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5033,82-Hhlni-t.265,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5034,82-Hhlni-t.269,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5035,82-Hhlni-t.270,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5036,82-Hhlni-t.271,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5037,82-Hhlni-t.294,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5038,82-Hhlni-t.297,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5039,82-Hhlni-t.298,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5040,82-Hhlni-t.299,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5041,82-Hhlni-t.30,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5042,82-Hhlni-t.31,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5043,82-Hhlni-t.319,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5044,82-Hhlni-t.32,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5045,82-Hhlni-t.326,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5046,82-Hhlni-t.327,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5047,82-Hhlni-t.33,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5048,82-Hhlni-t.332,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5049,82-Hhlni-t.333,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5050,82-Hhlni-t.334,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5051,82-Hhlni-t.335,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5052,82-Hhlni-t.338,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5053,82-Hhlni-t.340,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5054,82-Hhlni-t.341,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5055,82-Hhlni-t.343,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5056,82-Hhlni-t.357,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5057,82-Hhlni-t.358,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5058,82-Hhlni-t.363,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5059,82-Hhlni-t.375,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5060,82-Hhlni-t.376,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5061,82-Hhlni-t.377,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5062,82-Hhlni-t.378,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5063,82-Hhlni-t.379,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5064,82-Hhlni-t.387,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5065,82-Hhlni-t.400,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5066,82-Hhlni-t.401,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5067,82-Hhlni-t.403,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5068,82-Hhlni-t.408,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5069,82-Hhlni-t.409,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5070,82-Hhlni-t.411,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5071,82-Hhlni-t.417,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5072,82-Hhlni-t.418,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5073,82-Hhlni-t.421,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5074,82-Hhlni-t.422,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5075,82-Hhlni-t.434,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5076,82-Hhlni-t.436,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5077,82-Hhlni-t.44,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5078,82-Hhlni-t.440,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5079,82-Hhlni-t.442,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5080,82-Hhlni-t.443,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5081,82-Hhlni-t.444,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5082,82-Hhlni-t.445,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5083,82-Hhlni-t.448,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5084,82-Hhlni-t.449,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5085,82-Hhlni-t.463,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5086,82-Hhlni-t.464,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5087,82-Hhlni-t.465,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5088,82-Hhlni-t.48,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5089,82-Hhlni-t.49,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5090,82-Hhlni-t.5,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5091,82-Hhlni-t.51,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5092,82-Hhlni-t.55,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5093,82-Hhlni-t.56,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5094,82-Hhlni-t.57,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5095,82-Hhlni-t.58,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5096,82-Hhlni-t.60,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5097,82-Hhlni-t.61,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5098,82-Hhlni-t.62,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5099,82-Hhlni-t.63,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5100,82-Hhlni-t.76,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5101,82-Hhlni-t.77,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5102,82-Hhlni-t.83,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5103,82-Hhlni-t.84,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5104,82-Hhlni-t.85,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5105,82-Hhlni-t.88,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5106,82-Hhlni-t.95,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5107,82-Hhlni-t.96,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5108,82-Hhlni-t.97,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5109,82-Hhlni-t.98,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5110,82-Hhme-t.12,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5111,82-Hhme-t.13,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5112,82-Hhme-t.4,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5113,82-Hhme-t.7,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5114,82-Hhme-t.9,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
5115,82-Hhpw-t.4,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
